Source,Target,Type
Pin_tumbler_lock,Lock_(security_device),Directed
Pin_tumbler_lock,Egypt,Directed
Pin_tumbler_lock,Lock_picking,Directed
World-systems_theory,Nation_state,Directed
2G,GSM,Directed
2G,3G,Directed
101st_Airborne_Division,France,Directed
Lock_(security_device),Mechanics,Directed
Lock_(security_device),Keycard_lock,Directed
Lock_(security_device),Fingerprint,Directed
Lock_(security_device),Radio-frequency_identification,Directed
Lock_(security_device),Security_token,Directed
Lock_(security_device),Password,Directed
Lock_(security_device),Bit_(key),Directed
Lock_(security_device),Keyhole,Directed
Lock_(security_device),Brass,Directed
Lock_(security_device),Nickel_silver,Directed
Lock_(security_device),Steel,Directed
Lock_(security_device),Lock_picking,Directed
Lock_(security_device),Nineveh,Directed
Lock_(security_device),Assyria,Directed
Lock_(security_device),Egypt,Directed
Lock_(security_device),Pin_tumbler_lock,Directed
Lock_(security_device),Warded_lock,Directed
Lock_(security_device),Theodorus_of_Samos,Directed
Lock_(security_device),Beguinage,Directed
Lock_(security_device),"Lier,_Belgium",Directed
Keyhole,Mechanics,Directed
Keyhole,Keycard_lock,Directed
Keyhole,Fingerprint,Directed
Keyhole,Radio-frequency_identification,Directed
Keyhole,Security_token,Directed
Keyhole,Password,Directed
Keyhole,Bit_(key),Directed
Keyhole,Keyhole,Directed
Keyhole,Brass,Directed
Keyhole,Nickel_silver,Directed
Keyhole,Steel,Directed
Keyhole,Lock_picking,Directed
Keyhole,Nineveh,Directed
Keyhole,Assyria,Directed
Keyhole,Egypt,Directed
Keyhole,Pin_tumbler_lock,Directed
Keyhole,Warded_lock,Directed
Keyhole,Theodorus_of_Samos,Directed
Keyhole,Beguinage,Directed
Keyhole,"Lier,_Belgium",Directed
Klaus_Schwab,World_Economic_Forum,Directed
Code_injection,Malware,Directed
Code_injection,Operating_system,Directed
Nicolas_L%C3%A9onard_Sadi_Carnot,Rudolf_Clausius,Directed
Nicolas_L%C3%A9onard_Sadi_Carnot,Thermodynamics,Directed
Warded_lock,Lock_(security_device),Directed
Warded_lock,Keyhole,Directed
Warded_lock,Pin_tumbler_lock,Directed
Centrality,Graph_theory,Directed
Centrality,Social_network_analysis,Directed
Knowledge-based_economy,Innovation,Directed
Cellular_networks,Base_station,Directed
Cellular_networks,Smartwatch,Directed
Cellular_networks,5G,Directed
Al-Qalqashandi,Egypt,Directed
Al-Qalqashandi,Polyalphabetic_cipher,Directed
Al-Qalqashandi,Plaintext,Directed
Al-Qalqashandi,Al-Kindi,Directed
December_2015_Ukraine_power_grid_cyberattack,Ukraine,Directed
Systems_theory,Collective_intelligence,Directed
Systems_theory,Collective_action,Directed
Systems_theory,Self-organized_criticality,Directed
Systems_theory,Herd_mentality,Directed
Systems_theory,Phase_transition,Directed
Systems_theory,Agent-based_model,Directed
Systems_theory,Synchronization,Directed
Systems_theory,Ant_colony_optimization_algorithms,Directed
Systems_theory,Particle_swarm_optimization,Directed
Systems_theory,Swarm_behaviour,Directed
Systems_theory,Social_network_analysis,Directed
Systems_theory,Small-world_network,Directed
Systems_theory,Centrality,Directed
Systems_theory,Network_motif,Directed
Systems_theory,Graph_theory,Directed
Systems_theory,Scalability,Directed
Systems_theory,Systems_biology,Directed
Systems_theory,Dynamic_network_analysis,Directed
Systems_theory,Evolutionary_computation,Directed
Systems_theory,Genetic_algorithm,Directed
Hierarchy,Ancient_Greek_language,Directed
Hierarchy,Systems_theory,Directed
Hierarchy,Graph_theory,Directed
War_of_currents,Electric_power_transmission,Directed
War_of_currents,Arc_lamp,Directed
War_of_currents,Incandescent_lamp,Directed
War_of_currents,Thomas_Edison,Directed
War_of_currents,George_Westinghouse,Directed
War_of_currents,Gas_lighting,Directed
Structural_load,Structure,Directed
Structural_load,Aircraft,Directed
Zigbee,Personal_area_network,Directed
Zigbee,Bluetooth,Directed
Zigbee,Wi-Fi,Directed
Zigbee,Li-Fi,Directed
General_systems_theory,Collective_intelligence,Directed
General_systems_theory,Collective_action,Directed
General_systems_theory,Self-organized_criticality,Directed
General_systems_theory,Herd_mentality,Directed
General_systems_theory,Phase_transition,Directed
General_systems_theory,Agent-based_model,Directed
General_systems_theory,Synchronization,Directed
General_systems_theory,Ant_colony_optimization_algorithms,Directed
General_systems_theory,Particle_swarm_optimization,Directed
General_systems_theory,Swarm_behaviour,Directed
General_systems_theory,Social_network_analysis,Directed
General_systems_theory,Small-world_network,Directed
General_systems_theory,Centrality,Directed
General_systems_theory,Network_motif,Directed
General_systems_theory,Graph_theory,Directed
General_systems_theory,Scalability,Directed
General_systems_theory,Systems_biology,Directed
General_systems_theory,Dynamic_network_analysis,Directed
General_systems_theory,Evolutionary_computation,Directed
General_systems_theory,Genetic_algorithm,Directed
Ciphertext,Cryptography,Directed
Ciphertext,Encryption,Directed
Ciphertext,Plaintext,Directed
Ciphertext,Cipher,Directed
Ciphertext,Algorithm,Directed
Ultra-wideband,Personal_area_network,Directed
Smart_thermostat,Wi-Fi,Directed
Utility_pole,Electric_power_transmission,Directed
Utility_pole,Electric_power_distribution,Directed
Utility_pole,Electrical_substation,Directed
Utility_pole,Volt,Directed
Smart_keychain,Access_control,Directed
Smart_keychain,Software,Directed
Systems_biology,Complex_network,Directed
Thermodynamics,Energy,Directed
Thermodynamics,Steam_engine,Directed
Thermodynamics,Nicolas_L%C3%A9onard_Sadi_Carnot,Directed
Hacktivist,Human_rights,Directed
Phablet,Smartphone,Directed
Security_controls,Security,Directed
Security_controls,NIST,Directed
Norbert_Wiener,MIT,Directed
Norbert_Wiener,Control_system,Directed
Norbert_Wiener,Cybernetics,Directed
Small-world_network,Social_network_analysis,Directed
Evolutionary_computation,Algorithm,Directed
Nickel_silver,Brass,Directed
ANT_(network),Personal_area_network,Directed
Ransomware,Malware,Directed
Ransomware,Encryption,Directed
Ransomware,Symmetric-key_algorithm,Directed
Greek_language,Modern_Greek,Directed
Greek_language,Romanization_of_Greek,Directed
Greek_language,Ancient_Greek_language,Directed
Greek_language,Romanization_of_Ancient_Greek,Directed
Greek_language,Hellenic_languages,Directed
Greek_language,Egypt,Directed
Near-field_communication,Smartphone,Directed
Near-field_communication,Personal_area_network,Directed
Near-field_communication,Radio-frequency_identification,Directed
Near-field_communication,Wi-Fi,Directed
Computer_security,System,Directed
Computer_security,Threat_(security),Directed
Computer_security,Software,Directed
Computer_security,Service_(economics),Directed
Computer_security,Wireless_network_standards,Directed
Computer_security,Smart_device,Directed
Computer_security,Smartphone,Directed
Computer_security,Electric_power_distribution,Directed
Computer_security,Election_security,Directed
Computer_security,Finance,Directed
Computer_security,Passwords,Directed
Computer_security,Encryption,Directed
Computer_security,Physical_security,Directed
Computer_security,Lock_and_key,Directed
Computer_security,Security_convergence,Directed
Computer_security,Common_Vulnerabilities_and_Exposures,Directed
Computer_security,Cyberattack,Directed
Computer_security,Automated_threat,Directed
Computer_security,Small_and_medium-sized_enterprises,Directed
Computer_security,Man-in-the-middle_attack,Directed
Network_motif,Complex_network,Directed
Passive_attack,Ciphertext,Directed
Passive_attack,Plaintext,Directed
4G,3G,Directed
4G,2G,Directed
Futures_contract,Financial_instrument,Directed
Personal_area_network,Smartphone,Directed
Personal_area_network,Wireless_USB,Directed
Personal_area_network,Bluetooth,Directed
Personal_area_network,NearLink,Directed
Personal_area_network,Zigbee,Directed
Personal_area_network,Smartwatch,Directed
Synchronization,System,Directed
Synchronization,Time,Directed
Smart_speaker,Wi-Fi,Directed
Smart_speaker,Bluetooth,Directed
Subtransmission,Electrical_substation,Directed
Subtransmission,Electric_power_distribution,Directed
Complex_network,Hierarchy,Directed
5G,4G,Directed
Conflict_of_interest,Government,Directed
Common_Vulnerabilities_and_Exposures,Vulnerability_(computing),Directed
Common_Vulnerabilities_and_Exposures,The_MITRE_Corporation,Directed
Common_Vulnerabilities_and_Exposures,National_Cyber_Security_Division,Directed
Common_Vulnerabilities_and_Exposures,US_Department_of_Homeland_Security,Directed
Common_Vulnerabilities_and_Exposures,Security_Content_Automation_Protocol,Directed
Common_Vulnerabilities_and_Exposures,Red_Hat,Directed
Common_Vulnerabilities_and_Exposures,GitHub,Directed
Common_Vulnerabilities_and_Exposures,Commercial_software,Directed
Common_Vulnerabilities_and_Exposures,Security_vulnerability,Directed
Common_Vulnerabilities_and_Exposures,Conflict_of_interest,Directed
Barbed_wire,Steel,Directed
Barbed_wire,Fence,Directed
Global_Risks_Report,World_Economic_Forum,Directed
